n, bubble, insertion, selection, std::sort, quick, merge, quick hybrid
2,4.0542e-08,2.6625e-08,3.7042e-08,1.66e-07,3.84416e-07,5.3834e-08,3.7166e-08
4,9.1959e-08,6.8708e-08,9.7792e-08,1.74125e-07,5.08667e-07,1.70833e-07,8.7417e-08
6,2.85292e-07,1.55792e-07,2.20667e-07,2.85958e-07,1.48004e-06,2.08583e-07,1.35e-07
8,3.5825e-07,2.07834e-07,2.92166e-07,4.23e-07,1.70513e-06,3.73125e-07,2.16708e-07
10,6.00042e-07,2.91666e-07,4.6075e-07,5.11334e-07,2.17488e-06,5.05125e-07,3.25417e-07
12,9.34209e-07,4.46292e-07,6.45375e-07,6.73291e-07,2.57346e-06,5.85916e-07,3.84583e-07
14,1.16442e-06,4.74166e-07,8.8425e-07,8.60041e-07,3.09625e-06,6.6775e-07,4.37792e-07
16,1.3785e-06,5.24417e-07,9.46959e-07,8.8625e-07,3.0115e-06,7.58667e-07,5.04792e-07
18,1.75154e-06,5.95792e-07,1.09158e-06,1.10467e-06,3.36342e-06,8.12333e-07,5.89208e-07
20,1.881e-06,6.65042e-07,1.21204e-06,1.18471e-06,3.39696e-06,8.63708e-07,6.07667e-07
22,2.02933e-06,6.80708e-07,1.27258e-06,1.23646e-06,3.74483e-06,9.12792e-07,7.09042e-07
24,2.32333e-06,7.75208e-07,1.45004e-06,1.355e-06,3.92783e-06,1.05404e-06,1.00396e-06
26,2.56525e-06,8.17583e-07,1.56229e-06,1.41071e-06,4.13833e-06,1.05562e-06,8.015e-07
28,2.97713e-06,8.5575e-07,1.62396e-06,1.50171e-06,4.51158e-06,1.10396e-06,8.85042e-07
30,3.33229e-06,9.70417e-07,1.9565e-06,1.73908e-06,4.87438e-06,1.2025e-06,9.61834e-07
32,3.89279e-06,1.08333e-06,2.12325e-06,1.88146e-06,4.93904e-06,1.33692e-06,1.08325e-06
34,4.19875e-06,1.17383e-06,2.40321e-06,2.04012e-06,5.46388e-06,1.5785e-06,1.25896e-06
36,4.46517e-06,1.31525e-06,2.68775e-06,2.10104e-06,6.06242e-06,1.51904e-06,1.44713e-06
38,5.04946e-06,1.46446e-06,2.80225e-06,2.31033e-06,6.26213e-06,1.72008e-06,1.49554e-06
40,5.65754e-06,1.57296e-06,3.34742e-06,2.41992e-06,6.59283e-06,1.79758e-06,1.57946e-06
42,6.25588e-06,1.75725e-06,3.36175e-06,2.53067e-06,6.91217e-06,1.94046e-06,1.72429e-06
44,6.56517e-06,1.95738e-06,3.60829e-06,2.63263e-06,7.48633e-06,1.94758e-06,1.85717e-06
46,7.35687e-06,2.19721e-06,3.92187e-06,2.88483e-06,7.974e-06,2.18483e-06,1.97467e-06
48,7.922e-06,2.27858e-06,4.30867e-06,2.94121e-06,8.19242e-06,2.44258e-06,2.1665e-06
50,8.47842e-06,2.295e-06,4.46233e-06,3.10154e-06,8.732e-06,2.54054e-06,2.30792e-06
52,8.9525e-06,2.57933e-06,4.8245e-06,3.37633e-06,9.17783e-06,2.48033e-06,2.41842e-06
54,9.72254e-06,2.57787e-06,5.4725e-06,3.44775e-06,9.58446e-06,2.58658e-06,2.59071e-06
56,1.05382e-05,2.79325e-06,5.41071e-06,3.54033e-06,9.80492e-06,2.6865e-06,2.81825e-06
58,1.11153e-05,2.91692e-06,5.72062e-06,3.67937e-06,1.01151e-05,2.762e-06,3.01596e-06
60,1.17497e-05,3.11217e-06,6.08092e-06,3.84792e-06,1.03642e-05,2.93308e-06,3.14538e-06
62,1.2529e-05,3.29321e-06,6.48592e-06,4.03704e-06,1.07298e-05,3.01192e-06,3.35604e-06
64,1.35187e-05,3.56054e-06,6.92687e-06,4.10575e-06,1.06128e-05,3.30192e-06,3.48642e-06
66,1.3832e-05,3.68229e-06,7.35937e-06,4.49958e-06,1.18506e-05,3.40242e-06,3.94263e-06
68,1.51096e-05,4.087e-06,7.63038e-06,4.43329e-06,1.24373e-05,3.494e-06,3.96942e-06
70,1.5962e-05,4.18121e-06,7.95533e-06,4.90529e-06,1.2683e-05,3.55867e-06,4.17342e-06
72,1.68394e-05,4.53446e-06,8.3805e-06,4.97592e-06,1.29027e-05,3.92475e-06,4.37646e-06
74,1.7589e-05,4.64596e-06,8.85596e-06,5.05462e-06,1.37814e-05,3.92221e-06,4.69442e-06
76,1.8781e-05,5.03125e-06,9.46754e-06,5.29038e-06,1.3925e-05,4.02125e-06,4.89587e-06
78,1.97717e-05,5.08146e-06,9.68663e-06,5.49463e-06,1.39717e-05,4.24821e-06,5.07908e-06
80,2.03198e-05,5.33692e-06,1.03638e-05,5.52096e-06,1.44496e-05,4.19496e-06,5.44054e-06
82,2.14255e-05,5.56613e-06,1.05817e-05,5.98671e-06,1.46682e-05,4.37779e-06,5.72521e-06
84,2.23516e-05,6.01875e-06,1.09285e-05,6.06396e-06,1.5563e-05,4.39946e-06,5.94554e-06
86,2.29434e-05,6.30246e-06,1.16625e-05,6.22717e-06,1.5826e-05,4.56963e-06,6.10271e-06
88,2.40391e-05,6.30321e-06,1.21867e-05,6.33446e-06,1.666e-05,4.74742e-06,6.31733e-06
90,2.46855e-05,6.5765e-06,1.22645e-05,6.31692e-06,1.67734e-05,4.79496e-06,6.50479e-06
92,2.5648e-05,6.8475e-06,1.27195e-05,6.52042e-06,1.69489e-05,4.95888e-06,6.79958e-06
94,2.67589e-05,7.23908e-06,1.33516e-05,6.67017e-06,1.73562e-05,5.36008e-06,7.58029e-06
96,2.89746e-05,7.59046e-06,1.40328e-05,7.07533e-06,1.85233e-05,5.57271e-06,7.47908e-06
98,2.97453e-05,7.74258e-06,1.46274e-05,6.95179e-06,1.85441e-05,5.49962e-06,7.86313e-06
100,3.0811e-05,8.15108e-06,1.54495e-05,7.26546e-06,1.87624e-05,5.72287e-06,8.17617e-06
102,3.16689e-05,8.59046e-06,1.5879e-05,7.45292e-06,1.91843e-05,5.85929e-06,8.28542e-06
104,3.29621e-05,8.60087e-06,1.64356e-05,7.68667e-06,1.98557e-05,5.77113e-06,8.82758e-06
106,3.43374e-05,9.10979e-06,1.6786e-05,7.84846e-06,2.0105e-05,6.11429e-06,9.03783e-06
108,3.55144e-05,9.24654e-06,1.74911e-05,8.02888e-06,2.06698e-05,6.17937e-06,9.37837e-06
110,3.6581e-05,9.62779e-06,1.76534e-05,8.02192e-06,2.07184e-05,6.04792e-06,9.53237e-06
112,3.71127e-05,9.86942e-06,1.81628e-05,8.094e-06,2.08196e-05,6.274e-06,9.86537e-06
114,3.82581e-05,1.02096e-05,1.94183e-05,8.59746e-06,2.19417e-05,6.60758e-06,1.04479e-05
116,4.03875e-05,1.08222e-05,1.97624e-05,8.73296e-06,2.25383e-05,6.52787e-06,1.08148e-05
118,4.17037e-05,1.11366e-05,2.03988e-05,8.94979e-06,2.28518e-05,6.903e-06,1.17614e-05
120,4.3035e-05,1.14373e-05,2.10453e-05,9.04104e-06,2.30085e-05,6.78083e-06,1.15698e-05
122,4.41982e-05,1.1936e-05,2.17494e-05,9.38392e-06,2.36174e-05,6.91875e-06,1.17926e-05
124,4.70338e-05,1.23195e-05,2.23749e-05,9.29817e-06,2.40333e-05,7.22287e-06,1.22664e-05
126,4.69894e-05,1.23541e-05,2.2457e-05,9.40217e-06,2.3648e-05,7.27729e-06,1.25129e-05
128,4.75904e-05,1.2621e-05,2.31845e-05,9.60113e-06,2.31111e-05,7.38958e-06,1.25884e-05
130,5.01703e-05,1.32903e-05,2.41792e-05,1.00647e-05,2.50102e-05,7.659e-06,1.35197e-05
132,5.16805e-05,1.37699e-05,2.49338e-05,1.01464e-05,2.55646e-05,7.83888e-06,1.3868e-05
134,5.35801e-05,1.4149e-05,2.56233e-05,1.03909e-05,2.61916e-05,8.09679e-06,1.44673e-05
136,5.52025e-05,1.44376e-05,2.7469e-05,1.04776e-05,2.64253e-05,8.22875e-06,1.465e-05
138,5.58404e-05,1.4871e-05,2.70003e-05,1.09126e-05,2.7087e-05,8.17283e-06,1.46467e-05
140,5.63187e-05,1.50118e-05,2.72209e-05,1.06285e-05,2.68882e-05,8.16271e-06,1.50592e-05
142,5.77328e-05,1.56784e-05,2.86352e-05,1.12202e-05,2.8048e-05,8.73842e-06,1.59656e-05
144,6.06113e-05,1.61684e-05,2.94999e-05,1.11604e-05,2.83067e-05,8.75142e-06,1.61247e-05
146,6.3042e-05,1.64496e-05,2.99687e-05,1.14699e-05,2.87021e-05,8.90279e-06,1.65604e-05
148,6.4428e-05,1.70865e-05,3.0735e-05,1.18703e-05,2.9287e-05,9.08871e-06,1.70564e-05
150,6.76275e-05,1.73962e-05,3.15279e-05,1.15624e-05,2.8895e-05,8.89646e-06,1.70045e-05
152,6.72588e-05,1.80789e-05,3.1693e-05,1.17561e-05,2.93795e-05,8.98329e-06,1.81221e-05
154,6.91612e-05,1.87945e-05,3.39685e-05,1.22167e-05,3.06036e-05,9.53208e-06,1.83599e-05
156,7.0549e-05,1.98281e-05,3.36424e-05,1.24095e-05,3.07597e-05,9.34862e-06,1.89467e-05
158,7.24298e-05,1.92953e-05,3.66202e-05,1.25216e-05,3.09534e-05,9.85833e-06,1.9154e-05
160,7.52988e-05,2.02053e-05,3.5387e-05,1.2633e-05,3.05922e-05,9.6735e-06,1.92326e-05
162,7.37411e-05,1.98345e-05,3.53989e-05,1.2688e-05,3.10266e-05,1.01125e-05,2.04276e-05
164,7.81696e-05,2.09027e-05,3.72364e-05,1.31461e-05,3.26386e-05,9.954e-06,2.12327e-05
166,0.000128299,2.11415e-05,3.80399e-05,1.31503e-05,3.29373e-05,1.03521e-05,2.12549e-05
168,8.27019e-05,2.16973e-05,3.87897e-05,1.34053e-05,3.31281e-05,1.03548e-05,2.22316e-05
170,8.16324e-05,2.17846e-05,3.8848e-05,1.34783e-05,3.30311e-05,1.04293e-05,2.17998e-05
172,8.55276e-05,2.2584e-05,4.05393e-05,1.39462e-05,3.4065e-05,1.0748e-05,2.27307e-05
174,8.72879e-05,2.32654e-05,4.10407e-05,1.39642e-05,3.4608e-05,1.09363e-05,2.30736e-05
176,8.9089e-05,2.35621e-05,4.2088e-05,1.42177e-05,3.57768e-05,1.0873e-05,2.38147e-05
178,9.0091e-05,2.36428e-05,4.20264e-05,1.41114e-05,3.53548e-05,1.10425e-05,2.34623e-05
180,9.14747e-05,2.45997e-05,4.40239e-05,1.49778e-05,3.66387e-05,1.14105e-05,2.47971e-05
182,9.45247e-05,2.59815e-05,4.48335e-05,1.5063e-05,3.68675e-05,1.14953e-05,2.51353e-05
184,9.73621e-05,2.5701e-05,4.57133e-05,1.49412e-05,3.78141e-05,1.15164e-05,2.55774e-05
186,9.75772e-05,2.57253e-05,4.53905e-05,1.48026e-05,3.67495e-05,1.149e-05,2.55089e-05
188,0.000100445,2.72158e-05,4.75837e-05,1.54602e-05,3.8394e-05,1.18996e-05,2.70563e-05
190,0.000103504,2.7617e-05,4.933e-05,1.56576e-05,3.84417e-05,1.26353e-05,2.04293e-05
192,0.000105558,2.80827e-05,4.94018e-05,1.58987e-05,3.815e-05,1.20822e-05,2.01407e-05
194,0.000104601,2.77557e-05,4.90575e-05,1.55951e-05,3.93263e-05,1.2781e-05,2.04645e-05
196,0.000109428,2.94423e-05,5.14718e-05,1.6273e-05,3.96465e-05,1.25532e-05,2.07706e-05
198,0.000111823,2.95568e-05,5.28685e-05,1.62172e-05,4.06868e-05,1.26371e-05,2.13891e-05
200,0.000112724,2.97454e-05,5.20938e-05,1.60987e-05,3.94982e-05,1.24742e-05,2.06068e-05
202,0.00011462,3.08521e-05,5.73934e-05,1.72976e-05,4.31273e-05,1.40725e-05,2.24646e-05
204,0.000121271,3.16596e-05,5.58958e-05,1.71498e-05,4.20912e-05,1.36413e-05,2.24766e-05
206,0.000126088,3.34682e-05,5.80264e-05,1.75489e-05,4.28603e-05,1.34607e-05,2.20331e-05
208,0.000120407,3.27742e-05,5.78466e-05,1.73008e-05,4.32744e-05,1.34468e-05,2.23721e-05
210,0.000125432,3.3065e-05,5.86115e-05,1.75266e-05,4.34984e-05,1.38894e-05,2.30352e-05
212,0.00013266,3.91911e-05,5.97017e-05,1.8036e-05,4.2945e-05,1.35048e-05,2.22422e-05
214,0.000127138,3.43914e-05,6.06322e-05,1.79696e-05,4.40515e-05,1.41095e-05,2.30545e-05
216,0.000132513,3.60551e-05,6.18181e-05,1.8338e-05,4.43927e-05,1.41798e-05,2.33677e-05
218,0.000135435,3.62962e-05,6.42666e-05,1.8867e-05,4.45186e-05,1.39341e-05,2.2914e-05
220,0.000133333,3.62012e-05,6.39397e-05,1.88061e-05,4.54018e-05,1.44395e-05,2.33912e-05
222,0.00020384,4.14041e-05,6.60072e-05,1.86942e-05,4.6347e-05,1.49243e-05,2.39025e-05
224,0.000157096,3.78788e-05,6.60589e-05,1.94353e-05,4.62891e-05,1.49978e-05,2.45794e-05
226,0.000158318,4.3456e-05,6.91302e-05,1.90676e-05,4.66522e-05,2.76443e-05,3.02e-05
228,0.000151973,3.86255e-05,7.06668e-05,1.94441e-05,0.000101644,1.67458e-05,2.76618e-05
230,0.000189379,4.4095e-05,7.31272e-05,2.04591e-05,4.74701e-05,1.54087e-05,2.50289e-05
232,0.000157085,4.4721e-05,0.00015777,1.97238e-05,5.55702e-05,1.58039e-05,2.7432e-05
234,0.000160746,4.04765e-05,7.09969e-05,1.93425e-05,4.71477e-05,1.50605e-05,2.46195e-05
236,0.000151446,4.0295e-05,7.22932e-05,1.96907e-05,4.74248e-05,1.51882e-05,2.50085e-05
238,0.00015438,4.11582e-05,7.19461e-05,1.98072e-05,4.7923e-05,1.56031e-05,2.52209e-05
240,0.000157467,4.24551e-05,7.41289e-05,1.99545e-05,4.81648e-05,1.56662e-05,2.55457e-05
242,0.000160268,4.25373e-05,7.43014e-05,2.05451e-05,4.90166e-05,1.58358e-05,2.56853e-05
244,0.000163391,4.3028e-05,7.50435e-05,2.03259e-05,4.88735e-05,1.59127e-05,2.57316e-05
246,0.0001663,4.39282e-05,7.74859e-05,2.05656e-05,4.97256e-05,1.60688e-05,2.63596e-05
248,0.000167563,4.46719e-05,7.75914e-05,2.06446e-05,4.99451e-05,1.63478e-05,2.64628e-05
250,0.000171016,4.53688e-05,7.88614e-05,2.09309e-05,5.03485e-05,1.65439e-05,2.6975e-05
252,0.000174053,4.57526e-05,7.94554e-05,2.10152e-05,5.03651e-05,1.64348e-05,2.67979e-05
254,0.000175381,4.65907e-05,8.07965e-05,2.12583e-05,5.06867e-05,1.66683e-05,2.7231e-05
256,0.000178315,4.74209e-05,8.20981e-05,2.15231e-05,4.99648e-05,1.67557e-05,2.7326e-05
258,0.000180837,4.79245e-05,8.30922e-05,2.16091e-05,5.14681e-05,1.716e-05,2.74909e-05
260,0.000184037,4.88239e-05,8.46003e-05,2.19508e-05,5.207e-05,1.70669e-05,2.7928e-05
262,0.000186328,4.94411e-05,8.56804e-05,2.26531e-05,5.52919e-05,1.80072e-05,2.92441e-05
264,0.000200553,5.03706e-05,8.72003e-05,2.24583e-05,5.34355e-05,1.75505e-05,2.82251e-05
266,0.00019289,5.11438e-05,9.09193e-05,2.33466e-05,5.597e-05,1.84438e-05,2.965e-05
268,0.000202076,5.18823e-05,8.96766e-05,2.26665e-05,5.45858e-05,1.77123e-05,2.90685e-05
270,0.000198343,5.24582e-05,9.07726e-05,2.30717e-05,5.4909e-05,1.80926e-05,2.88936e-05
272,0.000200864,5.33733e-05,9.1814e-05,2.30378e-05,5.55008e-05,1.80544e-05,2.93829e-05
274,0.00020394,5.444e-05,9.60908e-05,2.32832e-05,5.58249e-05,1.84632e-05,2.94297e-05
276,0.000208497,5.50178e-05,9.43764e-05,2.35183e-05,5.59864e-05,1.832e-05,2.94501e-05
278,0.000209328,5.55896e-05,9.73044e-05,2.3646e-05,5.67575e-05,1.84863e-05,2.9887e-05
280,0.000217983,5.79855e-05,0.000100883,2.42897e-05,5.81277e-05,1.89584e-05,3.05263e-05
282,0.000216312,5.72428e-05,9.90266e-05,2.52743e-05,5.89232e-05,1.89854e-05,3.06749e-05
284,0.000221307,5.83935e-05,9.97006e-05,2.42165e-05,5.80855e-05,1.90399e-05,3.07675e-05
286,0.000222382,5.87517e-05,0.000100868,2.43991e-05,5.84609e-05,1.953e-05,3.11922e-05
288,0.000225508,5.94735e-05,0.000102394,2.46133e-05,5.86953e-05,2.0306e-05,3.11585e-05
290,0.000227945,6.00378e-05,0.000103562,2.4832e-05,5.92432e-05,1.94589e-05,3.14852e-05
292,0.000234517,6.21368e-05,0.000105688,2.51715e-05,6.01003e-05,1.96681e-05,3.18981e-05
294,0.000235742,6.29555e-05,0.000107772,2.5595e-05,6.09348e-05,1.98393e-05,3.18226e-05
296,0.000237055,6.2598e-05,0.000107921,2.546e-05,6.06042e-05,2.0016e-05,3.19707e-05
298,0.000239604,6.35088e-05,0.000109339,2.5781e-05,6.11776e-05,2.01458e-05,3.2334e-05
300,0.000243331,6.41302e-05,0.000110716,2.57524e-05,6.13265e-05,2.0637e-05,3.36588e-05
